row_no,machine_id,status,reason,detail
198,4684,skipped,status_not_ready,status_not_ready
199,4703,skipped,status_not_ready,status_not_ready
200,4697,skipped,status_not_ready,status_not_ready
201,4687,skipped,status_not_ready,status_not_ready
202,4659,skipped,status_not_ready,status_not_ready
203,4695,skipped,status_not_ready,status_not_ready
204,4708,skipped,status_not_ready,status_not_ready
205,4698,skipped,status_not_ready,status_not_ready
206,4664,skipped,status_not_ready,status_not_ready
207,4679,skipped,status_not_ready,status_not_ready
208,4691,skipped,status_not_ready,status_not_ready
209,4670,skipped,status_not_ready,status_not_ready
210,4671,skipped,status_not_ready,status_not_ready
211,4672,skipped,status_not_ready,status_not_ready
212,4694,skipped,status_not_ready,status_not_ready
213,4677,skipped,status_not_ready,status_not_ready
214,4696,skipped,status_not_ready,status_not_ready
215,4657,skipped,status_not_ready,status_not_ready
216,4644,skipped,status_not_ready,status_not_ready
217,4655,skipped,status_not_ready,status_not_ready
218,4656,skipped,status_not_ready,status_not_ready
219,4661,skipped,status_not_ready,status_not_ready
220,4646,skipped,status_not_ready,status_not_ready
221,4662,skipped,status_not_ready,status_not_ready
222,4648,skipped,status_not_ready,status_not_ready
223,4667,skipped,status_not_ready,status_not_ready
224,4645,skipped,status_not_ready,status_not_ready
225,4649,skipped,status_not_ready,status_not_ready
226,4682,skipped,status_not_ready,status_not_ready
227,4660,skipped,status_not_ready,status_not_ready
228,4663,skipped,status_not_ready,status_not_ready
229,4637,skipped,status_not_ready,status_not_ready
230,4630,skipped,status_not_ready,status_not_ready
231,4642,skipped,status_not_ready,status_not_ready
232,4636,skipped,status_not_ready,status_not_ready
233,4629,skipped,status_not_ready,status_not_ready
234,4654,skipped,status_not_ready,status_not_ready
235,4665,skipped,status_not_ready,status_not_ready
236,4638,skipped,status_not_ready,status_not_ready
237,4627,skipped,status_not_ready,status_not_ready
238,4652,skipped,status_not_ready,status_not_ready
239,4632,skipped,status_not_ready,status_not_ready
240,4624,skipped,status_not_ready,status_not_ready
241,4619,skipped,status_not_ready,status_not_ready
242,4651,skipped,status_not_ready,status_not_ready
243,4621,skipped,status_not_ready,status_not_ready
244,4608,skipped,status_not_ready,status_not_ready
245,4628,skipped,status_not_ready,status_not_ready
246,4633,skipped,status_not_ready,status_not_ready
247,4625,skipped,status_not_ready,status_not_ready
248,4612,skipped,status_not_ready,status_not_ready
249,4620,skipped,status_not_ready,status_not_ready
250,4634,skipped,status_not_ready,status_not_ready
251,4594,skipped,status_not_ready,status_not_ready
252,4626,skipped,status_not_ready,status_not_ready
253,4596,skipped,status_not_ready,status_not_ready
254,4590,skipped,status_not_ready,status_not_ready
255,4598,skipped,status_not_ready,status_not_ready
256,4605,skipped,status_not_ready,status_not_ready
257,4622,skipped,status_not_ready,status_not_ready
258,4591,skipped,status_not_ready,status_not_ready
259,4567,skipped,status_not_ready,status_not_ready
260,4615,skipped,status_not_ready,status_not_ready
261,4587,skipped,status_not_ready,status_not_ready
262,4585,skipped,status_not_ready,status_not_ready
263,4573,skipped,status_not_ready,status_not_ready
264,4599,skipped,status_not_ready,status_not_ready
265,4586,skipped,status_not_ready,status_not_ready
266,4592,skipped,status_not_ready,status_not_ready
267,4593,skipped,status_not_ready,status_not_ready
268,4562,skipped,status_not_ready,status_not_ready
269,4589,skipped,status_not_ready,status_not_ready
270,4574,skipped,status_not_ready,status_not_ready
271,4576,skipped,status_not_ready,status_not_ready
272,4580,skipped,status_not_ready,status_not_ready
273,4559,skipped,status_not_ready,status_not_ready
274,4569,skipped,status_not_ready,status_not_ready
275,4570,skipped,status_not_ready,status_not_ready
276,4568,skipped,status_not_ready,status_not_ready
277,4561,skipped,status_not_ready,status_not_ready
278,4578,skipped,status_not_ready,status_not_ready
279,4558,skipped,status_not_ready,status_not_ready
280,4543,skipped,status_not_ready,status_not_ready
281,4542,skipped,status_not_ready,status_not_ready
282,4546,skipped,status_not_ready,status_not_ready
283,4549,skipped,status_not_ready,status_not_ready
284,4564,skipped,status_not_ready,status_not_ready
285,4534,skipped,status_not_ready,status_not_ready
286,4551,skipped,status_not_ready,status_not_ready
287,4557,skipped,status_not_ready,status_not_ready
288,4528,skipped,status_not_ready,status_not_ready
289,4531,skipped,status_not_ready,status_not_ready
290,4548,skipped,status_not_ready,status_not_ready
291,4541,skipped,status_not_ready,status_not_ready
292,4532,skipped,status_not_ready,status_not_ready
293,4545,skipped,status_not_ready,status_not_ready
294,4537,skipped,status_not_ready,status_not_ready
295,4519,skipped,status_not_ready,status_not_ready
296,4544,skipped,status_not_ready,status_not_ready
297,4518,skipped,status_not_ready,status_not_ready
298,4507,skipped,status_not_ready,status_not_ready
299,4529,skipped,status_not_ready,status_not_ready
300,4520,skipped,status_not_ready,status_not_ready
301,4508,skipped,status_not_ready,status_not_ready
302,4524,skipped,status_not_ready,status_not_ready
303,4506,skipped,status_not_ready,status_not_ready
304,4526,skipped,status_not_ready,status_not_ready
305,4505,skipped,status_not_ready,status_not_ready
306,4522,skipped,status_not_ready,status_not_ready
307,4514,skipped,status_not_ready,status_not_ready
308,4533,skipped,status_not_ready,status_not_ready
309,4523,skipped,status_not_ready,status_not_ready
310,4502,skipped,status_not_ready,status_not_ready
311,4503,skipped,status_not_ready,status_not_ready
312,4509,skipped,status_not_ready,status_not_ready
313,4521,skipped,status_not_ready,status_not_ready
314,4489,skipped,status_not_ready,status_not_ready
315,4513,skipped,status_not_ready,status_not_ready
316,4498,skipped,status_not_ready,status_not_ready
317,4499,skipped,status_not_ready,status_not_ready
318,4496,skipped,status_not_ready,status_not_ready
319,4497,skipped,status_not_ready,status_not_ready
320,4492,skipped,status_not_ready,status_not_ready
321,4491,skipped,status_not_ready,status_not_ready
322,4481,skipped,status_not_ready,status_not_ready
323,4483,skipped,status_not_ready,status_not_ready
324,4474,skipped,status_not_ready,status_not_ready
325,4469,skipped,status_not_ready,status_not_ready
326,4467,skipped,status_not_ready,status_not_ready
327,4470,skipped,status_not_ready,status_not_ready
328,4495,skipped,status_not_ready,status_not_ready
329,4485,skipped,status_not_ready,status_not_ready
330,4480,skipped,status_not_ready,status_not_ready
331,4472,skipped,status_not_ready,status_not_ready
332,4461,skipped,status_not_ready,status_not_ready
333,4473,skipped,status_not_ready,status_not_ready
334,4484,skipped,status_not_ready,status_not_ready
335,4482,skipped,status_not_ready,status_not_ready
336,4475,skipped,status_not_ready,status_not_ready
337,4452,skipped,status_not_ready,status_not_ready
338,4451,skipped,status_not_ready,status_not_ready
339,4465,skipped,status_not_ready,status_not_ready
340,4444,skipped,status_not_ready,status_not_ready
341,4437,skipped,status_not_ready,status_not_ready
342,4441,skipped,status_not_ready,status_not_ready
343,4463,skipped,status_not_ready,status_not_ready
